,title,aliases,rank_display,rank,country,region,Total_Students_x,Total_Students_y,Total_Faculty_x,Total_Faculty_y,Faculty/Student_ratio_x,Faculty/Student_ratio_y,International_Students_x,International_Students_y,Inter/Total_student_ratio_x,Inter/Total_student_ratio_y,International_Faculty_x,International_Faculty_y
0,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,1,5,United States,North America,11067.0,11177,2982.0,1284.0,0.269449715370019,0.1149425287356322,3717.0,3800.0,0.33586337760910817,0.34,1679.0,
1,Stanford University,Stanford University,2,=3,United States,North America,15878.0,15845,4285.0,2112.0,0.26987026073812825,0.13333333333333333,3611.0,3485.0,0.22742158962085904,0.22,2042.0,
2,Harvard University,Harvard University,3,6,United States,North America,22429.0,20326,4350.0,2283.0,0.19394533862410274,0.11235955056179775,5266.0,5284.0,0.234785322573454,0.26,1311.0,
3,California Institute of Technology (Caltech),California Institute of Technology caltech,4,=3,United States,North America,2255.0,2209,953.0,339.0,0.42261640798226163,0.15384615384615385,647.0,596.0,0.2869179600886918,0.27,350.0,
4,University of Cambridge,University of Cambridge,5,2,United Kingdom,Europe,18770.0,18389,5490.0,1687.0,0.2924880127863612,0.09174311926605504,6699.0,6436.0,0.3568993074054342,0.35,2278.0,
5,University of Oxford,University of Oxford,6,1,United Kingdom,Europe,19720.0,20409,6750.0,1822.0,0.3422920892494929,0.08928571428571429,7353.0,7755.0,0.3728701825557809,0.38,2964.0,
6,UCL (University College London),University College London ucl,7,16,United Kingdom,Europe,31080.0,30304,6345.0,2886.0,0.20415057915057916,0.09523809523809523,14854.0,14848.0,0.47792792792792793,0.49,2554.0,
7,Imperial College London,Imperial College London,8,8,United Kingdom,Europe,16090.0,15857,3930.0,1390.0,0.2442510876320696,0.08771929824561403,8746.0,8721.0,0.5435674331883157,0.55,2071.0,
8,University of Chicago,University of Chicago,9,9,United States,North America,13557.0,13525,2449.0,2181.0,0.18064468540237516,0.16129032258064516,3379.0,3381.0,0.2492439330235303,0.25,635.0,
9,ETH Zurich - Swiss Federal Institute of Technology,ETH Zurich – Swiss Federal Institute of Technology Zurich,10,=10,Switzerland,Europe,19815.0,19233,2477.0,1317.0,0.1250063083522584,0.0684931506849315,7563.0,7308.0,0.3816805450416351,0.38,1886.0,
10,"Nanyang Technological University, Singapore (NTU)","Nanyang Technological University, Singapore  NTU Nan yang",11,52,Singapore,Asia,25738.0,25499,4338.0,1564.0,0.1685445644572228,0.06134969325153374,7251.0,7904.0,0.28172352164115316,0.31,2993.0,
11,Ecole Polytechnique Fédérale de Lausanne (EPFL),École Polytechnique Fédérale de Lausanne,12,=38,Switzerland,Europe,10343.0,9928,1695.0,886.0,0.1638789519481775,0.08928571428571429,5896.0,5460.0,0.5700473750362564,0.55,1300.0,
12,Princeton University,Princeton University,13,7,United States,North America,8069.0,7955,1007.0,958.0,0.12479861197174372,0.12048192771084336,1793.0,1909.0,0.22220845210063206,0.24,246.0,
13,Cornell University,Cornell University,14,19,United States,North America,21904.0,21850,2718.0,2229.0,0.12408692476260044,0.1020408163265306,5411.0,5244.0,0.24703250547845143,0.24,970.0,
14,National University of Singapore (NUS),National University of Singapore nus,15,=22,Singapore,Asia,32728.0,30602,5106.0,1800.0,0.15601319970667318,0.058823529411764705,8917.0,9180.0,0.27245783427034953,0.3,3086.0,
15,Yale University,Yale University,16,12,United States,North America,12402.0,12155,4940.0,2826.0,0.39832285115303984,0.23255813953488372,2469.0,2552.0,0.19908079342041607,0.21,1708.0,
16,Johns Hopkins University,Johns Hopkins University,17,13,United States,North America,16146.0,15498,4462.0,3604.0,0.27635327635327633,0.23255813953488372,4105.0,3719.0,0.2542425368512325,0.24,1061.0,
