Canton,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,3.3,27225,34156,6931
Berne,2.4,13658,18385,4727
Lucerne,1.7,3885,6756,2871
Uri,0.6,112,257,145
Schwyz,1.7,1455,2229,774
Obwald,0.7,153,319,166
Nidwald,1,248,436,188
Glaris,1.8,416,713,297
Zoug,2.3,1543,2615,1072
Fribourg,2.7,4466,7837,3371
Soleure,2.6,3801,6628,2827
Bâle-Ville,3.5,3455,5168,1713
Bâle-Campagne,2.8,4082,5540,1458
Schaffhouse,3,1286,2328,1042
Appenzell Rhodes-Extérieures,1.7,523,866,343
Appenzell Rhodes-Intérieures,0.7,62,102,40
St-Gall,2.2,6127,10363,4236
Grisons,1.1,1166,2590,1424
Argovie,2.9,10684,15145,4461
Thurgovie,2,3058,5618,2560
Tessin,3.1,5202,8675,3473
Vaud,4.3,17155,24649,7494
Valais,2.8,4816,8027,3211
Neuchâtel,5.1,4738,6350,1612
Genève,5.2,12234,15497,3263
Jura,4.4,1619,2375,756
Total,3,133169,193624,60455
