,Region,Canton,Age_Category,Unemployement_Rate,Unemployement_Rate_young,Registered_unemployed,Unemployed_Young,Unemployed_Long_Period,Job_seekers,Job_seekers_Employed
0,Suisse alémanique,Zurich,15-19 ans,3.9,3.9,1223,1223,20,1394,171
1,Suisse alémanique,Zurich,20-24 ans,3.7,3.7,2197,2197,57,2455,258
2,Suisse alémanique,Zurich,25-29 ans,3.5,0,3131,0,351,3797,666
3,Suisse alémanique,Zurich,30-34 ans,3.7,0,3945,0,600,4871,926
4,Suisse alémanique,Zurich,35-39 ans,3.8,0,3754,0,614,4695,941
5,Suisse alémanique,Zurich,40-44 ans,3.2,0,3220,0,539,4040,820
6,Suisse alémanique,Zurich,45-49 ans,2.9,0,3003,0,610,3868,865
7,Suisse alémanique,Zurich,50-54 ans,3.1,0,2878,0,621,3778,900
8,Suisse alémanique,Zurich,55-59 ans,3.2,0,2286,0,664,3077,791
9,Suisse alémanique,Zurich,60 ans et plus,2.5,0,1588,0,677,2181,593
10,Suisse alémanique,Berne,15-19 ans,2.2,2.2,569,569,7,686,117
11,Suisse alémanique,Berne,20-24 ans,3.1,3.1,1434,1434,32,1719,285
12,Suisse alémanique,Berne,25-29 ans,3,0,1696,0,179,2211,515
13,Suisse alémanique,Berne,30-34 ans,2.9,0,1764,0,226,2346,582
14,Suisse alémanique,Berne,35-39 ans,2.8,0,1591,0,251,2154,563
15,Suisse alémanique,Berne,40-44 ans,2,0,1300,0,243,1806,506
16,Suisse alémanique,Berne,45-49 ans,2,0,1422,0,282,1976,554
17,Suisse alémanique,Berne,50-54 ans,2.1,0,1447,0,308,2070,623
18,Suisse alémanique,Berne,55-59 ans,2.2,0,1298,0,344,1815,517
19,Suisse alémanique,Berne,60 ans et plus,2.2,0,1137,0,464,1602,465
20,Suisse alémanique,Lucerne,15-19 ans,2.1,2.1,232,232,7,327,95
21,Suisse alémanique,Lucerne,20-24 ans,2.1,2.1,432,432,12,570,138
22,Suisse alémanique,Lucerne,25-29 ans,2,0,498,0,32,793,295
23,Suisse alémanique,Lucerne,30-34 ans,2,0,483,0,36,841,358
24,Suisse alémanique,Lucerne,35-39 ans,1.9,0,439,0,60,737,298
25,Suisse alémanique,Lucerne,40-44 ans,1.4,0,362,0,31,676,314
26,Suisse alémanique,Lucerne,45-49 ans,1.3,0,377,0,51,714,337
27,Suisse alémanique,Lucerne,50-54 ans,1.5,0,402,0,56,824,422
28,Suisse alémanique,Lucerne,55-59 ans,1.9,0,388,0,83,763,375
29,Suisse alémanique,Lucerne,60 ans et plus,1.5,0,272,0,85,511,239
30,Suisse alémanique,Uri,15-19 ans,0.4,0.4,5,5,0,6,1
31,Suisse alémanique,Uri,20-24 ans,0.6,0.6,10,10,0,18,8
32,Suisse alémanique,Uri,25-29 ans,0.8,0,16,0,0,35,19
33,Suisse alémanique,Uri,30-34 ans,0.6,0,11,0,1,31,20
34,Suisse alémanique,Uri,35-39 ans,0.5,0,8,0,1,24,16
35,Suisse alémanique,Uri,40-44 ans,0.3,0,6,0,2,13,7
36,Suisse alémanique,Uri,45-49 ans,0.6,0,17,0,2,36,19
37,Suisse alémanique,Uri,50-54 ans,0.6,0,14,0,3,40,26
38,Suisse alémanique,Uri,55-59 ans,0.9,0,16,0,2,36,20
